Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.204	8.98e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg02158978,cg02186444,cg03227037,cg03877174,cg03906843,cg04016660,cg04514392,cg05168580,cg05194346,cg06635952,cg07178945,cg07712198,cg07723258,cg07890553,cg08035323,cg08481002,cg08947774,cg09001527,cg10811485,cg11399640,cg12458003,cg13039251,cg14371731,cg15963913,cg17485141,cg19325791,cg19719391,cg20979737,cg22495037,cg22635096,cg22891595,cg24134897,cg24665265,cg27118035,cg27312979,cg27332104	GSM816644	1.00e+00
1.219	1.25e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01281718,cg01560871,cg01765077,cg01824412,cg02003183,cg02156870,cg02158978,cg02186444,cg02782510,cg02787737,cg03047995,cg03801691,cg03877174,cg04135110,cg04180046,cg04815334,cg05168580,cg05194346,cg05570258,cg06357748,cg06361984,cg06648759,cg07178945,cg07427642,cg07723258,cg07890553,cg08035323,cg08428985,cg08481002,cg08530064,cg08801479,cg09001527,cg09109520,cg09560590,cg09762021,cg09906382,cg09929238,cg09981914,cg10417386,cg10619342,cg11699257,cg12229367,cg13264840,cg13782301,cg14269109,cg14371731,cg14977938,cg15020801,cg15688628,cg15963913,cg16145216,cg16260126,cg16649298,cg16942327,cg17063143,cg17485141,cg17884674,cg19406367,cg19637821,cg19696491,cg19736654,cg19758448,cg21356710,cg21758126,cg22490254,cg22495037,cg22539182,cg23661483,cg23855901,cg24665265,cg25197194,cg26955383,cg27118035	Lookup	1.00e+00
2.688	8.42e-03	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00281776,cg00290355,cg01281718,cg01765077,cg01809639,cg02003183,cg02158978,cg02186444,cg02787737,cg03051880,cg03227037,cg03877174,cg03906843,cg04016660,cg04180046,cg04514392,cg05168580,cg05987787,cg06357748,cg06541968,cg06710464,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09560590,cg09762021,cg09906382,cg09981914,cg10417386,cg10696445,cg11699257,cg11902728,cg11953794,cg12229367,cg12458003,cg13782301,cg13980609,cg14371731,cg15020801,cg15108699,cg15688628,cg16145216,cg16260126,cg19406367,cg19719391,cg19816930,cg20979737,cg21356710,cg21758126,cg22490254,cg22539182,cg22635096,cg24134897,cg26804423,cg26955383,cg27118035	Lookup	9.49e-01
2.673	7.31e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00290355,cg01012082,cg01281718,cg01765077,cg01824412,cg02003183,cg02156870,cg02158978,cg02686357,cg03051880,cg03227037,cg03877174,cg03906843,cg04445427,cg05168580,cg05279866,cg05570258,cg06357748,cg06635952,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08551027,cg08801479,cg08972170,cg09109520,cg09762021,cg09906382,cg09981914,cg11699257,cg11902728,cg11953794,cg12229367,cg12290779,cg12458003,cg12587087,cg13039251,cg13264840,cg13782301,cg13980609,cg14269109,cg14371731,cg15108699,cg15688628,cg16145216,cg16260126,cg19325791,cg19327213,cg19619585,cg19696491,cg19719391,cg19758448,cg19816930,cg19925780,cg20979737,cg21758126,cg22490254,cg22635096,cg24134897,cg25197194,cg25200151,cg25491122,cg27118035	Lookup	9.49e-01
7.915	3.31e-12	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00210249,cg00281776,cg00290355,cg01281718,cg01560871,cg01765077,cg01824412,cg02156870,cg02158978,cg02186444,cg02610360,cg02787737,cg02793162,cg03227037,cg03732020,cg03877174,cg03906843,cg04135110,cg04180046,cg04514392,cg05168580,cg05194346,cg05304393,cg05570258,cg05713794,cg05969150,cg05987787,cg06357748,cg06541968,cg06635952,cg06648759,cg07028929,cg07349663,cg07723258,cg07890553,cg08035323,cg08473752,cg08481002,cg08801479,cg08972170,cg09109520,cg09696535,cg09762021,cg09906382,cg09981914,cg10417386,cg10619342,cg10696445,cg10811485,cg11699257,cg11902728,cg11953794,cg12458003,cg12587087,cg13264840,cg13641317,cg13782301,cg13980609,cg14012925,cg14269109,cg14371731,cg14977938,cg15251319,cg15261712,cg15417641,cg15688628,cg15963913,cg16145216,cg16200531,cg16260126,cg16649298,cg16942327,cg17485141,cg17884674,cg18394552,cg18954479,cg19325791,cg19406367,cg19696491,cg19719391,cg19758448,cg19816930,cg19925780,cg19956914,cg20751345,cg20979737,cg21356710,cg21758126,cg22490254,cg22495037,cg22539182,cg22635096,cg22891595,cg23661483,cg23840027,cg24134897,cg24665265,cg25197194,cg25200151,cg25809905,cg26821542,cg26955383,cg27118035,cg27332104	Lookup	2.24e-09
-0.925	8.40e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg01050266,cg01765077,cg02003183,cg02158978,cg03227037,cg03877174,cg05168580,cg05194346,cg06357748,cg06710464,cg07890553,cg08035323,cg08428985,cg08530064,cg09001527,cg09109520,cg09981914,cg10441522,cg10696445,cg11699257,cg11953794,cg12458003,cg13039251,cg13264840,cg13641317,cg14030402,cg14371731,cg15777335,cg16145216,cg17485141,cg17884674,cg19637821,cg19719391,cg19736654,cg20979737,cg22539182,cg25421530,cg26955383	GSM816664	1.00e+00
1.812	4.84e-02	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00281776,cg01765077,cg01809639,cg02158978,cg02186444,cg03906843,cg04016660,cg05168580,cg05304393,cg05713794,cg05987787,cg06635952,cg07028929,cg07349663,cg07712198,cg07890553,cg08035323,cg08419422,cg08473752,cg08481002,cg09001527,cg09696535,cg09762021,cg09981914,cg11827925,cg12587087,cg14269109,cg15068180,cg15417641,cg15963913,cg16145216,cg16200531,cg16260126,cg19956914,cg20751345,cg20979737,cg21356710,cg22490254,cg22539182,cg23840027,cg24134897,cg25809905,cg26371172,cg26804423,cg26821542,cg27118035,cg27312979	GSM736607	1.00e+00
-1.439	9.44e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg01765077,cg02003183,cg02158978,cg02610360,cg03047995,cg03877174,cg04180046,cg05168580,cg05570258,cg06357748,cg07890553,cg08035323,cg08481002,cg08801479,cg09560590,cg09762021,cg09981914,cg10417386,cg11902728,cg11953794,cg13264840,cg16145216,cg17485141,cg19327213,cg19758448,cg20979737,cg22539182,cg22635096,cg26955383	"GSM736558,GSM736635"	1.00e+00
-0.150	5.89e-01	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg01765077,cg01809639,cg02003183,cg02686357,cg03047995,cg03051880,cg03227037,cg03877174,cg03906843,cg04135110,cg05168580,cg06361984,cg06635952,cg06819357,cg07890553,cg08035323,cg08462127,cg08481002,cg09109520,cg09560590,cg09762021,cg10417386,cg11902728,cg11953794,cg16145216,cg17485141,cg19327213,cg19696491,cg20979737,cg22635096,cg23236366,cg25200151,cg25421530,cg26955383,cg27118035	GSM736525	1.00e+00
-0.254	6.29e-01	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00992207,cg01281718,cg01765077,cg02158978,cg02686357,cg03227037,cg03877174,cg03906843,cg05168580,cg05570258,cg06635952,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09560590,cg09762021,cg10417386,cg10722267,cg11953794,cg12290779,cg13039251,cg13264840,cg15020801,cg16145216,cg17485141,cg19327213,cg20979737,cg22490254,cg22539182,cg24134897,cg25421530,cg26955383,cg27118035	"GSM736512,GSM736561"	1.00e+00
