Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.208	8.89e-04	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg03574890,cg04175911,cg05639088,cg07475825,cg09432792,cg12896170,cg15002347,cg15920942,cg17555274	GSM701525	3.88e-02
0.320	4.36e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg07475825,cg09432792,cg15135194,cg15920942	GSM701526	1.00e+00
2.709	1.72e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg03574890,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg27459630	GSM665837	4.95e-01
0.186	5.02e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg03574890,cg08552853,cg09432792,cg12896170	GSM701516	1.00e+00
4.050	5.09e-04	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg17555274	GSM701489	2.28e-02
4.251	4.80e-04	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg03361294,cg03574890,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg17555274	GSM701491	2.25e-02
5.000	6.10e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg01363387,cg01680062,cg03361294,cg03574890,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15002347,cg15920942,cg17555274	GSM665812	4.23e-03
4.276	3.93e-04	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15002347,cg15920942,cg17555274	GSM665839	1.99e-02
0.679	3.12e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg03574890,cg07475825,cg08552853,cg09432792,cg12896170	GSM817166	1.00e+00
5.146	5.80e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00052684,cg01680062,cg03574890,cg05639088,cg07475825,cg09432792,cg12896170,cg15002347,cg15920942,cg17555274,cg20361768,cg22885409,cg27459630	GSM701539	4.19e-03
