Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.495	1.26e-02	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00218406,cg00221794,cg00741986,cg00934987,cg01127300,cg01649611,cg02656560,cg02716826,cg05554494,cg06391412,cg07573872,cg08818207,cg08913523,cg09245302,cg09586924,cg09912552,cg12269535,cg12394289,cg12483947,cg12949141,cg13359998,cg13823169,cg14016418,cg16306654,cg16909914,cg17446956,cg18181703,cg19149463,cg20408175,cg20898283,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23599026,cg24704287,cg25368824,cg27023597,cg27067618,cg27660627	GSM816644	1.00e-01
4.028	7.05e-05	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00221794,cg00340855,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01252219,cg01357892,cg01595951,cg01616956,cg01649611,cg01904393,cg02010481,cg02656560,cg02716826,cg03124318,cg03370752,cg04993082,cg05439368,cg06362313,cg07839457,cg08669096,cg08818207,cg08850169,cg08913523,cg09912552,cg10454864,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12680205,cg12949141,cg13359998,cg13618969,cg13823169,cg13984040,cg16306654,cg16448702,cg16824319,cg17803993,cg17972213,cg18181703,cg19805160,cg20098015,cg20316440,cg20408175,cg20898283,cg21550372,cg22953759,cg23172671,cg23547429,cg23599026,cg23648810,cg23691006,cg23876292,cg24691964,cg24704287,cg24707200,cg25353281,cg26392102,cg26470501,cg27023597,cg27660627	Lookup	1.13e-03
7.590	1.41e-11	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01309328,cg01357892,cg01616956,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg03290827,cg05439368,cg05554494,cg06362313,cg07573872,cg07839457,cg08669096,cg08683263,cg08818207,cg08850169,cg08904394,cg08913523,cg09586924,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg13028635,cg13031097,cg13359998,cg13618969,cg13823169,cg13984040,cg14016418,cg14140379,cg16448702,cg16824319,cg17803993,cg20098015,cg20316440,cg20408175,cg20408505,cg20595453,cg20898283,cg22129276,cg22953759,cg22959742,cg23172671,cg23480341,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg25533551,cg27128761	Lookup	9.55e-09
5.623	5.63e-07	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01243823,cg01252219,cg01309328,cg01357892,cg01517384,cg01595951,cg02010481,cg02297838,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg06391412,cg07839457,cg08818207,cg08850169,cg08904394,cg08913523,cg09018739,cg09586924,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg13028635,cg13031097,cg13823169,cg13984040,cg16306654,cg17446956,cg17803993,cg17972213,cg18181703,cg20098015,cg20408175,cg20408505,cg20595453,cg22953759,cg23172671,cg23387863,cg23547429,cg23599026,cg23691006,cg24704287,cg24836822,cg25353281,cg25533551,cg26392102,cg26470501,cg27128761	Lookup	3.21e-05
3.767	2.89e-04	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00221794,cg00490406,cg00741986,cg00934987,cg01127300,cg01243823,cg01309328,cg01357892,cg01595951,cg01649611,cg01904393,cg02656560,cg02716826,cg03124318,cg04120520,cg04983687,cg04993082,cg05439368,cg07839457,cg08818207,cg08850169,cg09481056,cg09586924,cg10454864,cg11354682,cg11849692,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg13028635,cg13359998,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg19805160,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg23172671,cg23547429,cg23599026,cg23648810,cg23691006,cg24691964,cg24704287,cg24707200,cg25353281,cg25364972,cg25533551,cg27128761,cg27660627	Lookup	3.83e-03
2.281	1.75e-02	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00218406,cg00221794,cg00490406,cg00741986,cg01243823,cg01595951,cg01649611,cg01904393,cg02656560,cg02716826,cg02750743,cg03124318,cg04993082,cg05439368,cg06362313,cg07839457,cg08913523,cg09479650,cg09610644,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12949141,cg13359998,cg13823169,cg13984040,cg17803993,cg20408175,cg20898283,cg22953759,cg23172671,cg23599026,cg23691006,cg24704287,cg26227957,cg26470501,cg26508465,cg27660627	GSM816664	1.35e-01
3.156	2.65e-03	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00221794,cg00340855,cg00490406,cg00934987,cg01243823,cg01309328,cg01649611,cg01904393,cg02297838,cg02716826,cg02750743,cg04120520,cg04983687,cg04993082,cg05439368,cg06362313,cg07333021,cg08683263,cg08850169,cg09018739,cg09586924,cg12054453,cg12269535,cg12394289,cg12728588,cg12949141,cg13458609,cg13984040,cg14140379,cg16306654,cg16448702,cg20316440,cg20408175,cg23387863,cg23599026,cg24704287,cg24707200,cg24836822,cg25353281,cg25533551,cg26227957	GSM736607	2.70e-02
3.915	1.99e-04	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00221794,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01649611,cg02010481,cg02088996,cg02346442,cg02656560,cg02716826,cg03124318,cg04993082,cg05439368,cg06362313,cg07839457,cg08818207,cg08904394,cg08913523,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12949141,cg13028635,cg13359998,cg13823169,cg13984040,cg16306654,cg16909914,cg17394978,cg17803993,cg20098015,cg20316440,cg20408175,cg22914762,cg22953759,cg23480341,cg23691006,cg24691964,cg24704287,cg25353281	"GSM736558,GSM736635"	2.75e-03
4.416	2.73e-05	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00221794,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01309328,cg01595951,cg01649611,cg02346442,cg02656560,cg02716826,cg04993082,cg05439368,cg06362313,cg08683263,cg08818207,cg08913523,cg09245302,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12949141,cg13359998,cg13984040,cg16306654,cg16909914,cg17803993,cg17972213,cg20316440,cg20408175,cg22953759,cg23172671,cg23480341,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg24707200,cg24836822,cg25353281,cg27023597	GSM736525	4.98e-04
5.482	5.70e-07	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00218406,cg00221794,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01309328,cg01595951,cg01649611,cg02010481,cg02346442,cg02656560,cg02716826,cg02750743,cg04993082,cg05439368,cg06362313,cg08669096,cg08818207,cg08850169,cg08904394,cg08913523,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12949141,cg13028635,cg13031097,cg13359998,cg13823169,cg13984040,cg16306654,cg16909914,cg17394978,cg17803993,cg17972213,cg20098015,cg20316440,cg22953759,cg23480341,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg24707200,cg25368824,cg25533551,cg27023597	"GSM736512,GSM736561"	3.21e-05
