Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.558	5.36e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00427086,cg01993413,cg02249930,cg02505871,cg02641675,cg02734358,cg03143849,cg03411579,cg03912013,cg04073039,cg04080353,cg04882003,cg04952446,cg05654980,cg05845319,cg06294803,cg06422693,cg07633499,cg07979752,cg08879470,cg09351636,cg10970776,cg11680158,cg11877577,cg11975718,cg12054453,cg14387360,cg14795047,cg15208284,cg15814508,cg16362983,cg16656852,cg16723994,cg17737835,cg17877220,cg18062281,cg18755191,cg18931895,cg19478983,cg19857457,cg20554312,cg20560182,cg21643860,cg21910821,cg22435785,cg22949637,cg23550355,cg24965617,cg25539011,cg26421286,cg26728422,cg27287791	E063	1.00e+00
12.290	3.19e-22	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00008629,cg00134210,cg00135056,cg00252813,cg00455327,cg00463562,cg00472277,cg00657871,cg00759699,cg00783916,cg00901982,cg00907204,cg00930606,cg01020987,cg01170099,cg01243823,cg01406381,cg01414882,cg01428071,cg01456243,cg01678580,cg01932734,cg02232751,cg02336827,cg02345399,cg02359132,cg02424179,cg02651400,cg02716826,cg02805822,cg02905900,cg02932780,cg03014427,cg03029127,cg03043406,cg03354554,cg03359362,cg03395898,cg03484180,cg03560879,cg03721978,cg03945538,cg04424621,cg04557677,cg04927537,cg04949225,cg05068428,cg05151185,cg05492306,cg05559445,cg05603985,cg05760053,cg06211255,cg06285727,cg06321376,cg06361161,cg06630241,cg06647068,cg06778853,cg06826457,cg06933384,cg06976025,cg06983052,cg07026107,cg07092212,cg07156249,cg07199619,cg07422880,cg07452306,cg07507251,cg07820214,cg08003402,cg08099136,cg09155575,cg09182678,cg09249494,cg09978077,cg10025462,cg10106091,cg10468373,cg10919522,cg11002698,cg11068337,cg11366934,cg11394644,cg11494773,cg11926473,cg12269535,cg12526474,cg12848614,cg13028930,cg13505393,cg13519902,cg13613748,cg13709639,cg14024458,cg14044057,cg14093936,cg14223444,cg14254419,cg14290576,cg14476101,cg14741228,cg14853734,cg15298486,cg15387943,cg15416179,cg15717558,cg16041806,cg16595484,cg17066943,cg17214023,cg17217654,cg17298279,cg17327067,cg17329534,cg17724175,cg17916418,cg17971578,cg18204321,cg18262993,cg19168338,cg19390658,cg19501423,cg19629631,cg19755007,cg20010135,cg20248822,cg20322832,cg20594304,cg20698421,cg20805367,cg20811755,cg20813374,cg20842915,cg21691367,cg22370057,cg22395807,cg22479546,cg22695339,cg22706883,cg22800273,cg23683012,cg23756264,cg23919111,cg24109116,cg24230340,cg24332710,cg24663255,cg24711224,cg24733384,cg24760467,cg26189283,cg26221105,cg26615176,cg27563174,cg27610250	E063	8.23e-20
5.751	6.46e-04	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01180628,cg02583484,cg03707168,cg04444771,cg08198483,cg10508317,cg27545615	E063	3.03e-02
-5.049	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00220721,cg04334723,cg05417607,cg10025586,cg12590902,cg13246468	E063	1.00e+00
-2.587	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00433709,cg00780810,cg01936839,cg01973676,cg02504211,cg03940776,cg03945387,cg04011474,cg04610187,cg05242244,cg07021906,cg07217499,cg07901253,cg08255481,cg11376147,cg13693517,cg14715778,cg18763536,cg19448816,cg21052932,cg21346154,cg23646614,cg24174557,cg24496021,cg24691964,cg25817701,cg26361533	E063	1.00e+00
1.191	2.18e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00741986,cg02003183,cg04735908,cg07719604,cg11313708,cg12644285,cg17749033,cg21932231,cg25221975	E063	1.00e+00
10.043	1.37e-15	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00061031,cg00159243,cg00210249,cg00509772,cg01015663,cg01127300,cg01178099,cg01858712,cg02291556,cg02415661,cg02946885,cg03257930,cg04100595,cg04730825,cg04913803,cg04973995,cg05246110,cg05438378,cg05673882,cg05991009,cg06442723,cg07037944,cg07742396,cg07960624,cg08423142,cg08782002,cg09340403,cg09415366,cg09449988,cg10287970,cg10575219,cg10864794,cg10922280,cg10938393,cg11588903,cg11752250,cg12018809,cg12571570,cg12770539,cg12992827,cg13167816,cg13518625,cg13583535,cg13770461,cg14277403,cg14575950,cg15672022,cg15696506,cg15989436,cg16292768,cg16306654,cg16398761,cg16694480,cg16969872,cg17088014,cg17501210,cg17602444,cg17877600,cg18157896,cg18826637,cg19213703,cg19220272,cg19554257,cg19589396,cg19821297,cg19914919,cg20155035,cg20660989,cg20782117,cg21486834,cg21815220,cg22045288,cg22396498,cg23002590,cg23542902,cg23547429,cg23645210,cg24304210,cg24859433,cg25114611,cg25165932,cg25368647,cg25594736,cg25747190,cg25832796,cg26161057,cg26170244,cg26315985,cg26361436,cg27093918,cg27470213	E063	1.79e-13
-0.983	8.65e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg13428066	E063	1.00e+00
-2.020	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-1.313	9.55e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg17849569	E063	1.00e+00
0.323	5.11e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg02240622,cg03638795,cg05668853,cg07244253,cg10493166,cg13823169,cg14179389,cg14363114,cg16463460,cg17439093,cg21901395,cg22141389,cg22459204,cg26581729	E063	1.00e+00
0.586	4.02e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00417304,cg01940273,cg02650017,cg04203238,cg08822075,cg09701700,cg10520672,cg11152384,cg13745346,cg17467525,cg20945853	E063	1.00e+00
-3.103	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00277397,cg05575921,cg08210629,cg08262220,cg09823288,cg13409704,cg14542583,cg24739326	E063	1.00e+00
-4.330	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00548098,cg00980649,cg01597398,cg03536289,cg08666707,cg09360041,cg10636246,cg11468085,cg11690884,cg17822325,cg18105735,cg18394552,cg23384027,cg23889047,cg25368824,cg26680127,cg26955383,cg27115863	E063	1.00e+00
-5.387	1.00e+00	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg01438090,cg02607915,cg02913194,cg03281335,cg03593014,cg04486382,cg04621728,cg05380808,cg06647928,cg06677416,cg07986378,cg08299521,cg08829007,cg09646173,cg11542784,cg11796313,cg12620005,cg13149245,cg13525276,cg13787850,cg14145338,cg20491726,cg21382392,cg25230327,cg26164488	E063	1.00e+00
0.607	5.35e-01	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg00427086,cg00463562,cg01456243,cg01993413,cg02249930,cg02641675,cg02651400,cg03912013,cg04073039,cg04080353,cg04882003,cg04973995,cg05845319,cg06294803,cg06321376,cg06361161,cg06422693,cg06778853,cg06933384,cg07633499,cg07820214,cg07979752,cg09351636,cg09823288,cg09978077,cg10025462,cg10970776,cg11494773,cg11680158,cg11877577,cg11975718,cg12526474,cg13613748,cg14387360,cg14795047,cg14853734,cg15208284,cg15387943,cg15717558,cg16041806,cg16656852,cg17877220,cg18062281,cg18755191,cg18931895,cg19478983,cg19857457,cg20554312,cg20560182,cg21643860,cg21910821,cg22370057,cg22435785,cg22949637,cg23550355,cg24663255,cg24965617,cg25539011,cg26421286,cg27287791,cg27610250	E080	1.00e+00
11.252	2.67e-19	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00135056,cg00252813,cg00509772,cg00657871,cg00783916,cg00907204,cg01020987,cg01243823,cg02232751,cg02336827,cg02359132,cg02415661,cg02424179,cg02716826,cg02805822,cg02932780,cg03014427,cg03029127,cg03395898,cg03484180,cg03945538,cg04424621,cg04444771,cg04557677,cg04927537,cg05151185,cg05492306,cg05603985,cg05760053,cg06211255,cg06285727,cg06630241,cg06647068,cg06826457,cg06976025,cg07244253,cg07422880,cg07452306,cg07507251,cg07742396,cg08099136,cg09155575,cg09182678,cg10106091,cg10468373,cg10919522,cg11002698,cg11068337,cg11366934,cg11394644,cg11926473,cg12054453,cg12269535,cg14024458,cg14044057,cg14093936,cg14223444,cg14254419,cg14363114,cg14741228,cg15298486,cg15416179,cg16362983,cg16595484,cg17066943,cg17217654,cg17298279,cg17327067,cg17971578,cg18204321,cg18262993,cg19168338,cg19390658,cg19501423,cg19629631,cg20248822,cg20698421,cg20805367,cg20811755,cg20813374,cg20842915,cg22395807,cg22479546,cg22695339,cg22706883,cg22800273,cg23683012,cg24109116,cg24230340,cg24332710,cg24711224,cg24733384,cg24760467,cg26189283,cg26728422,cg27563174	E080	5.43e-17
3.610	7.94e-03	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg00930606,cg01180628,cg02583484,cg03043406,cg03707168,cg03721978	E080	3.13e-01
-3.879	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg00220721,cg01858712,cg02003183,cg05242244,cg05246110,cg05417607,cg07021906,cg08255481,cg10575219,cg10938393,cg12590902,cg12644285,cg16969872	E080	1.00e+00
-0.660	8.80e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg00008629,cg00134210,cg00433709,cg01170099,cg02504211,cg02607915,cg02946885,cg03593014,cg03945387,cg04011474,cg04100595,cg07156249,cg07901253,cg07986378,cg10287970,cg11376147,cg12992827,cg13246468,cg13428066,cg13693517,cg14290576,cg18763536,cg19448816,cg20491726,cg24174557,cg25594736,cg27545615	E080	1.00e+00
4.433	3.34e-04	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg00210249,cg00741986,cg02345399,cg04334723,cg04486382,cg04730825,cg04735908,cg06442723,cg07719604,cg08003402,cg08198483,cg08782002,cg09415366,cg10025586,cg11313708,cg12571570,cg16292768,cg16694480,cg17749033,cg20010135,cg21932231,cg22396498,cg23756264,cg25368647,cg26161057,cg26221105,cg27470213	E080	1.63e-02
9.321	6.41e-14	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00159243,cg00901982,cg01015663,cg01127300,cg01178099,cg01428071,cg01438090,cg01678580,cg01932734,cg01973676,cg02905900,cg03257930,cg03354554,cg04913803,cg04952446,cg05438378,cg05559445,cg05673882,cg05991009,cg06647928,cg06983052,cg07037944,cg07092212,cg08666707,cg09449988,cg09646173,cg10922280,cg11152384,cg11542784,cg11588903,cg11752250,cg12620005,cg12848614,cg13149245,cg13167816,cg13518625,cg13519902,cg13709639,cg13770461,cg13787850,cg14277403,cg14715778,cg15672022,cg15696506,cg15989436,cg16306654,cg16398761,cg17088014,cg17214023,cg17329534,cg17724175,cg17877600,cg17916418,cg18157896,cg18826637,cg19220272,cg19554257,cg19589396,cg19821297,cg20155035,cg20594304,cg20782117,cg21486834,cg21691367,cg22045288,cg23002590,cg23542902,cg23547429,cg23645210,cg24304210,cg24496021,cg24859433,cg25114611,cg25165932,cg25747190,cg25817701,cg25832796,cg26170244,cg26315985,cg26361436,cg26361533,cg26615176,cg26680127,cg27093918,cg27115863	E080	7.14e-12
-1.848	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed		E080	1.00e+00
-1.617	9.88e-01	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed	cg00980649,cg14145338	E080	1.00e+00
0.081	5.92e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg00277397,cg02505871,cg03143849,cg07026107,cg16723994,cg17849569,cg19755007	E080	1.00e+00
-0.676	8.64e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg00472277,cg00759699,cg01414882,cg02650017,cg03359362,cg03560879,cg04203238,cg05068428,cg05668853,cg07199619,cg10508317,cg13409704,cg13505393,cg14179389,cg17439093,cg20322832,cg20660989,cg22141389,cg23919111,cg26581729	E080	1.00e+00
-0.322	7.73e-01	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg00417304,cg00548098,cg01406381,cg01597398,cg01940273,cg02240622,cg03638795,cg05575921,cg08879470,cg09701700,cg10493166,cg10520672,cg13028930,cg13583535,cg13745346,cg13823169,cg14476101,cg16463460,cg17602444,cg17737835,cg21901395,cg24739326	E080	1.00e+00
-4.564	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg00455327,cg01936839,cg02291556,cg03940776,cg04610187,cg04621728,cg08210629,cg08262220,cg08822075,cg11468085,cg12018809,cg14542583,cg17467525,cg17822325,cg18105735,cg20945853,cg21346154,cg21815220,cg22459204,cg23646614,cg23889047,cg24691964,cg25221975	E080	1.00e+00
-3.180	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg00780810,cg02734358,cg03281335,cg03536289,cg04949225,cg05380808,cg06677416,cg07217499,cg08299521,cg08829007,cg09249494,cg09360041,cg11690884,cg11796313,cg13525276,cg18394552,cg21052932,cg21382392,cg25230327,cg26164488	E080	1.00e+00
-3.659	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg00061031,cg02913194,cg03411579,cg05654980,cg07960624,cg08423142,cg09340403,cg10636246,cg10864794,cg12770539,cg14575950,cg15814508,cg17501210,cg19213703,cg19914919,cg23384027,cg25368824,cg26955383	E080	1.00e+00
